ID,Gender,Birthdate,Years Graduated,Salary
1248085,M,7/26/1991,10,150000
1048691,M,1/28/1993,10,145000
990077,M,7/30/1986,10,180000
231229,M,11/15/1989,13,730000
1191730,M,8/5/1990,11,105000
831967,M,5/8/1993,10,305000
651925,M,4/10/1991,11,325000
1107633,M,12/15/1992,11,180000
942616,M,9/5/1987,14,160000
639274,F,3/18/1992,11,210000
1043845,F,10/14/1990,11,275000
237243,M,7/12/1988,12,150000
1119582,M,7/10/1992,10,210000
975579,M,4/7/1993,10,180000
1087364,F,8/30/1991,11,325000
331155,F,10/6/1990,12,360000
914037,M,12/26/1987,10,180000
863619,M,8/2/1991,11,160000
340788,M,2/26/1990,12,485000
1037128,M,6/20/1992,11,350000
1106216,M,1/15/1992,10,325000
349796,M,7/15/1991,12,370000
633241,M,10/6/1993,11,350000
1086480,M,6/9/1993,10,320000
960228,M,10/9/1992,10,225000
297128,M,12/4/1988,12,200000
649762,F,11/18/1991,11,180000
36296,M,8/29/1989,14,400000
273865,M,5/13/1990,13,500000
895472,M,2/9/1993,10,325000
514167,M,2/20/1990,12,260000
806997,F,4/29/1991,12,205000
283462,M,7/21/1990,13,760000
257383,M,9/8/1988,14,180000
906896,M,9/8/1992,10,310000
644423,M,4/10/1992,11,150000
216101,F,6/6/1991,13,180000
1259848,F,11/26/1992,10,195000
308164,M,7/5/1990,12,370000
809634,M,7/11/1991,11,240000
1154787,F,9/15/1992,11,335000
1259589,M,3/18/1993,10,110000
578364,M,7/17/1989,13,150000
1060371,M,7/1/1993,10,200000
683018,M,5/12/1989,12,480000
385442,M,10/28/1990,10,820000
1261625,M,2/26/1990,11,210000
276909,M,7/5/1988,13,135000
89357,M,1/5/1989,14,225000
837643,M,4/18/1993,10,360000
644973,M,1/15/1991,11,95000
435389,M,7/18/1991,12,240000
1193177,F,4/18/1992,11,200000
311565,M,6/1/1989,13,460000
982188,M,8/10/1991,10,205000
555735,F,10/5/1991,11,350000
924418,M,7/10/1995,10,170000
415282,M,6/15/1991,12,215000
515652,M,3/31/1992,12,100000
929120,M,9/28/1992,11,300000
1101244,F,6/29/1992,10,100000
999212,M,6/4/1991,11,300000
604409,M,10/7/1990,11,500000
831674,F,3/11/1993,10,235000
196447,F,9/9/1988,13,370000
629498,M,5/29/1991,11,350000
306079,M,10/18/1989,13,120000
324269,M,5/31/1991,12,145000
813205,M,7/31/1991,11,325000
313455,F,1/14/1991,12,360000
833130,M,11/8/1992,10,180000
60315,M,1/27/1988,14,110000
993363,M,6/5/1991,11,300000
468092,M,7/27/1990,12,120000
946893,M,10/29/1987,15,150000
471444,M,4/28/1991,11,180000
577489,M,10/17/1991,11,310000
1067138,F,1/13/1992,10,350000
855314,M,10/9/1989,11,180000
626764,F,2/14/1992,11,350000
1002611,M,9/9/1992,10,325000
1083993,F,10/10/1989,12,370000
629571,M,9/17/1991,11,220000
536786,M,8/12/1991,11,420000
82986,M,5/29/1989,14,420000
843467,M,8/16/1990,11,275000
1049856,M,11/8/1992,10,355000
215666,M,5/21/1988,13,400000
660770,F,10/25/1991,12,200000
530470,M,7/7/1992,11,275000
655183,M,2/1/1991,11,450000
50240,M,12/21/1987,14,550000
1279785,M,9/20/1991,11,180000
628220,M,1/14/1991,11,315000
1087646,M,1/8/1992,10,220000
1284041,M,9/5/1992,10,120000
1281646,M,1/18/1991,11,110000
543906,M,4/1/1992,11,240000
932788,F,4/4/1992,10,300000
105673,F,5/23/1989,14,700000
895770,F,12/5/1992,10,300000
629733,M,1/27/1992,11,300000
1009094,M,12/17/1991,10,560000
668821,F,8/17/1990,11,200000
784879,M,8/12/1992,11,390000
353929,M,3/2/1989,12,420000
1272180,M,7/6/1992,11,310000
1098933,M,8/10/1990,11,120000
827677,M,12/16/1992,10,325000
416671,F,6/24/1989,12,120000
338248,F,8/6/1990,11,200000
601396,M,6/28/1991,11,475000
324574,M,5/30/1991,12,375000
1272431,M,12/2/1992,10,200000
542590,M,5/20/1993,11,260000
552673,F,11/12/1991,11,380000
638264,M,7/18/1990,12,180000
847671,M,5/12/1991,12,200000
652580,M,1/1/1992,11,325000
249696,M,5/16/1986,13,180000
595058,F,2/19/1989,12,500000
1243766,F,3/17/1992,10,320000
625194,F,11/22/1991,11,325000
982461,M,9/5/1992,10,275000
1068625,M,8/13/1993,10,180000
365948,M,8/9/1990,12,445000
811372,M,12/28/1992,10,325000
1140518,M,2/28/1992,9,180000
985092,M,9/1/1991,10,510000
609147,M,2/26/1991,11,415000
325937,F,3/13/1991,12,420000
1010140,M,6/11/1991,7,330000
1268067,M,8/17/1994,9,325000
1212036,M,6/10/1992,10,185000
661080,M,12/15/1991,11,290000
1248068,F,10/25/1991,10,190000
1100767,F,8/1/1993,10,300000
1211729,M,10/5/1992,9,110000
307910,M,5/22/1990,12,435000
577659,M,11/5/1991,11,300000
801323,M,2/17/1992,10,350000
653055,M,10/20/1991,11,255000
1051982,M,10/10/1992,10,210000
1249671,M,6/18/1992,10,155000
423053,M,1/13/1991,12,400000
371808,M,10/20/1989,12,60000
543624,M,4/26/1992,11,105000
690405,M,5/14/1990,11,185000
53931,F,6/12/1987,14,200000
810342,M,5/10/1992,10,315000
102065,F,9/6/1988,14,105000
275185,M,7/21/1989,13,425000
841251,M,12/10/1990,12,220000
982384,M,2/5/1993,10,115000
800561,M,8/15/1991,11,300000
359247,M,1/28/1991,12,260000
842506,F,3/22/1992,10,105000
513149,M,10/24/1990,12,150000
439787,F,1/16/1990,12,280000
1089390,M,1/8/1993,10,300000
212167,M,7/7/1989,13,150000
906332,M,3/17/1988,10,135000
252464,F,8/5/1989,13,200000
1010625,M,3/23/1993,10,120000
895614,M,11/29/1992,10,300000
238556,M,12/25/1987,13,500000
639156,M,3/3/1992,11,500000
336561,M,3/18/1988,12,375000
796833,M,12/30/1991,10,450000
1059642,F,2/26/1991,11,150000
746122,M,11/15/1991,11,400000
1061906,F,3/13/1991,11,120000
212076,M,2/25/1989,13,160000
432511,F,4/13/1990,12,400000
651128,F,4/20/1992,11,300000
974769,F,8/27/1992,10,300000
1245234,M,5/1/1992,9,200000
640103,M,4/16/1991,11,220000
460251,M,5/27/1986,12,310000
345800,M,7/22/1989,12,400000
338130,M,9/13/1990,12,325000
765370,M,6/10/1992,11,345000
1212119,M,6/14/1993,10,160000
258677,M,6/21/1984,14,300000
417713,M,8/7/1989,13,240000
1081371,M,12/23/1992,10,305000
947847,M,2/1/1993,10,300000
220634,M,12/14/1988,13,500000
954272,F,7/29/1990,12,350000
1045685,M,3/18/1993,10,2000000
1094242,M,2/6/1992,10,220000
250762,F,8/31/1988,13,340000
512833,M,3/4/1989,12,100000
946109,M,10/10/1992,10,180000
687992,M,6/15/1991,11,180000
536500,M,4/1/1989,12,475000
1243402,M,4/26/1992,11,245000
1082543,M,1/15/1991,10,215000
230512,M,10/5/1988,13,505000
509555,M,11/3/1991,11,145000
729448,F,1/29/1991,11,350000
1251526,F,11/23/1993,10,150000
42232,M,9/8/1989,14,420000
1104236,F,10/8/1992,11,145000
1065846,M,3/24/1993,10,400000
754959,M,7/27/1991,11,340000
774207,M,2/26/1991,12,115000
1218330,M,8/29/1993,10,200000
288761,M,9/15/1988,13,95000
791374,M,1/14/1992,12,280000
1204743,M,12/25/1993,9,300000
1037564,M,7/20/1991,11,110000
1279815,M,11/12/1992,10,320000
103165,M,12/9/1988,14,300000
731258,M,8/29/1990,11,95000
385232,F,11/12/1990,12,180000
53264,F,2/29/1988,14,300000
938182,M,9/19/1992,10,180000
1006872,F,9/8/1991,11,210000
795959,M,9/15/1991,10,325000
1111630,M,4/27/1993,10,120000
1218326,M,2/16/1991,11,120000
612253,M,6/12/1992,11,385000
453953,M,9/24/1985,14,480000
294767,F,2/16/1990,13,495000
823489,M,4/15/1992,10,300000
1232793,M,4/20/1988,12,300000
1266407,M,8/29/1993,10,205000
1194740,F,1/27/1993,10,100000
797192,F,11/9/1990,11,300000
306404,M,2/17/1988,13,275000
78868,F,4/19/1988,14,425000
1037131,M,5/12/1990,11,180000
660813,M,12/26/1990,11,330000
765181,M,9/11/1991,11,360000
1068919,M,3/30/1991,12,250000
1061157,F,7/10/1992,10,305000
786463,F,8/25/1992,11,410000
794088,M,2/2/1992,10,220000
637137,M,7/27/1990,11,45000
1042309,M,4/20/1990,11,335000
666151,F,5/28/1992,10,325000
53292,M,12/1/1986,15,95000
353442,M,9/14/1990,9,565000
473825,M,2/5/1988,13,660000
1269254,M,7/28/1992,10,450000
576183,M,3/30/1992,11,395000
893396,M,3/4/1992,11,100000
445839,F,9/29/1992,11,300000
668771,M,10/31/1991,11,300000
796958,M,5/17/1991,10,550000
203510,M,11/28/1989,13,325000
389427,F,5/28/1989,12,100000
667532,M,6/18/1994,9,330000
308813,M,6/18/1990,12,310000
602139,M,12/10/1991,11,355000
1219113,M,1/5/1992,10,340000
662137,M,5/15/1990,11,70000
847661,M,6/18/1991,11,440000
723781,M,12/13/1991,11,400000
970295,M,3/6/1992,10,345000
518336,M,1/4/1986,12,400000
656427,M,5/7/1991,11,120000
1122706,M,5/31/1991,11,110000
676286,M,3/12/1991,11,400000
11244,M,9/25/1988,14,565000
465319,M,8/25/1991,12,360000
1036813,M,4/1/1990,12,305000
611859,M,8/30/1990,11,275000
579375,M,10/21/1990,11,500000
1202848,M,7/13/1992,11,300000
594659,M,12/20/1990,11,100000
654318,M,1/21/1991,11,275000
818651,M,10/2/1990,12,275000
1123174,M,8/1/1991,7,290000
1163951,M,7/22/1991,11,300000
994256,M,12/13/1991,11,340000
353733,F,9/26/1991,12,145000
1089599,M,12/3/1990,11,250000
662991,M,7/18/1989,13,215000
606364,M,11/10/1991,12,180000
352449,M,10/5/1990,12,350000
440338,M,12/27/1990,12,550000
328107,M,12/20/1990,12,295000
1076173,M,12/16/1991,11,320000
1113571,M,5/2/1992,11,105000
730091,F,7/5/1989,11,80000
217052,F,3/25/1988,13,470000
360581,F,5/19/1991,12,155000
862240,M,9/4/1991,11,180000
520096,M,10/26/1989,12,180000
1152411,M,8/12/1992,10,315000
1038848,M,6/3/1989,11,300000
519248,M,7/26/1987,12,360000
632267,F,1/2/1992,11,80000
530178,M,7/15/1990,11,180000
132776,F,8/28/1988,14,335000
1232775,M,2/13/1991,11,300000
261601,M,4/3/1988,13,80000
1067148,M,9/3/1992,10,300000
859919,M,8/13/1991,11,180000
732766,M,9/19/1992,11,300000
815109,M,9/14/1989,12,200000
322685,M,3/21/1990,12,325000
572458,M,6/5/1990,12,370000
911998,M,1/1/1992,10,350000
205705,F,4/26/1989,13,500000
1200378,M,9/9/1990,11,200000
755067,M,5/20/1990,11,335000
313406,M,9/30/1989,12,410000
795920,M,6/21/1990,10,450000
265225,F,9/14/1990,13,200000
1091356,M,12/14/1989,11,120000
1218505,F,4/18/1991,11,105000
898656,M,10/13/1992,10,240000
1061658,M,2/15/1992,10,120000
611740,M,6/3/1992,11,300000
1262255,M,4/28/1991,10,315000
338449,M,11/26/1990,11,180000
669506,F,8/5/1992,11,300000
632729,M,8/13/1991,11,420000
211840,F,8/16/1989,13,35000
638979,M,10/20/1991,11,300000
536947,F,3/14/1992,11,400000
1190941,M,8/13/1993,10,320000
902947,M,12/27/1992,10,270000
644845,F,3/20/1991,11,350000
267864,M,4/23/1988,13,200000
260866,M,5/27/1989,13,2600000
244948,M,10/5/1989,13,145000
862250,M,8/16/1991,12,210000
597352,M,11/12/1989,11,180000
1089287,M,4/4/1992,10,300000
809524,M,5/20/1991,11,405000
810588,F,6/5/1992,10,100000
531765,M,4/5/1992,11,200000
1270390,M,7/25/1991,10,200000
988848,F,2/17/1993,10,110000
962300,M,6/29/1992,10,120000
1174291,F,12/2/1993,9,1025000
1073243,M,2/24/1991,11,240000
317745,M,4/30/1990,12,400000
637094,M,7/10/1993,10,180000
1195975,F,12/27/1990,10,200000
198026,M,11/27/1989,13,340000
895673,M,12/11/1991,10,350000
1242048,M,7/31/1991,10,105000
45527,M,4/5/1989,14,480000
1218931,M,1/9/1994,10,200000
1133192,F,12/28/1992,10,200000
1171251,M,1/28/1992,11,210000
786421,M,4/27/1992,11,365000
262863,M,11/19/1990,10,240000
1063434,M,12/27/1990,11,175000
579905,M,10/4/1989,12,500000
132996,M,1/5/1989,14,570000
138253,M,7/20/1987,14,680000
1062655,M,2/15/1993,10,300000
520439,M,2/13/1991,11,180000
947155,M,10/9/1992,10,200000
533417,M,2/28/1991,12,200000
217003,M,6/21/1989,13,435000
1264540,M,8/22/1992,10,240000
637345,M,7/3/1991,11,190000
285145,F,8/2/1989,12,300000
192625,F,2/10/1990,13,360000
483538,M,9/30/1990,12,275000
818646,F,8/17/1990,12,230000
350819,M,6/16/1992,10,200000
940402,M,6/30/1993,10,300000
863466,M,6/20/1990,11,350000
1203085,M,10/20/1991,10,785000
353470,M,7/12/1990,12,460000
264071,M,11/11/1989,13,365000
1096809,F,11/10/1993,10,200000
345074,F,7/3/1990,12,150000
947943,M,7/5/1992,10,300000
619658,M,11/4/1991,11,460000
1089283,F,4/15/1993,10,110000
1267237,F,12/12/1991,11,240000
324950,F,6/6/1990,12,305000
272869,M,9/11/1987,13,350000
133165,M,10/12/1988,14,240000
1081475,M,1/11/1993,10,310000
872500,F,7/2/1993,10,335000
261537,F,12/25/1989,13,430000
661253,F,1/7/1992,11,300000
1199257,M,4/10/1993,10,100000
1034772,M,7/28/1991,11,300000
600660,M,11/9/1990,12,285000
982516,M,12/17/1991,10,90000
245337,F,2/13/1988,13,60000
1041140,M,2/8/1992,10,200000
552539,M,11/25/1990,11,340000
339440,M,5/10/1991,12,45000
274306,M,10/16/1988,13,870000
262479,M,7/5/1988,13,495000
328681,M,10/1/1990,12,440000
1119899,M,9/24/1992,10,350000
921221,M,3/3/1993,10,325000
633381,M,9/25/1991,11,380000
108193,M,5/17/1988,14,130000
1204604,M,11/23/1991,10,300000
30706,M,10/2/1987,14,1200000
921009,F,10/19/1992,10,200000
353197,F,3/29/1990,12,375000
1230190,F,7/26/1992,10,300000
908846,F,2/2/1993,10,60000
133458,M,6/5/1986,14,150000
260283,F,6/3/1989,14,150000
1093626,M,12/28/1991,10,325000
473843,M,11/23/1988,13,350000
558050,M,6/17/1991,12,185000
1061698,M,8/9/1993,11,315000
104065,M,11/26/1984,14,185000
56695,M,7/31/1988,14,650000
320764,F,5/25/1991,12,375000
336128,M,2/25/1990,12,400000
57430,M,10/20/1986,14,180000
1272078,M,1/27/1991,10,60000
1000998,M,3/5/1992,10,100000
102965,M,4/2/1989,14,460000
947534,M,11/30/1992,10,310000
487704,M,9/10/1992,11,144000
332142,M,10/9/1990,12,230000
330355,M,2/19/1991,12,500000
959435,F,7/17/1992,10,180000
640729,F,10/18/1991,11,300000
846760,F,11/10/1991,12,90000
1259766,M,8/3/1990,10,325000
583152,M,6/9/1992,11,510000
964045,F,11/24/1992,10,300000
829991,M,8/17/1991,10,325000
333417,M,1/27/1991,12,700000
226736,M,5/13/1989,13,100000
133328,M,6/1/1988,14,170000
1123050,M,6/15/1990,11,100000
216031,M,9/9/1990,13,130000
1149831,M,4/11/1993,10,220000
611521,M,9/3/1991,11,120000
416752,F,7/15/1989,13,240000
1088268,M,7/26/1991,11,240000
346321,M,5/2/1991,12,410000
563011,M,4/16/1988,12,140000
919445,M,8/25/1991,10,325000
1030716,F,12/5/1992,10,200000
1148365,M,12/25/1991,11,105000
604484,F,1/30/1991,12,180000
325701,F,7/24/1989,12,115000
542127,F,12/10/1991,11,215000
339763,F,5/8/1990,12,120000
321231,M,12/31/1988,12,250000
335390,F,10/15/1989,12,440000
1061897,M,4/20/1990,11,180000
1230280,M,6/21/1992,10,315000
458867,M,4/29/1992,11,320000
496538,F,8/16/1990,13,265000
445828,M,3/25/1992,11,240000
1066890,M,8/3/1992,11,180000
613031,M,7/21/1992,11,350000
325665,M,8/25/1988,12,335000
1034607,M,6/25/1991,10,300000
539169,M,3/27/1991,12,495000
900799,M,3/15/1992,10,320000
467264,F,6/18/1990,13,180000
390136,M,2/1/1991,12,110000
1081403,M,1/1/1992,10,305000
533473,M,8/27/1989,12,325000
109292,F,10/25/1988,14,250000
41579,F,9/23/1988,12,370000
746268,F,6/5/1992,11,165000
1119013,F,9/29/1990,10,200000
356190,M,8/25/1989,12,230000
59555,M,8/21/1987,12,400000
206705,M,1/2/1989,13,500000
57211,M,11/22/1989,14,480000
220946,M,5/28/1989,13,810000
914981,M,4/18/1988,11,200000
536085,F,1/16/1991,12,360000
827594,M,2/22/1992,10,325000
112075,F,12/19/1987,14,320000
1133187,M,4/18/1991,10,150000
552690,M,3/4/1990,11,240000
335938,F,9/10/1991,12,300000
225959,M,11/3/1989,12,395000
609043,F,9/6/1991,11,440000
1289702,M,11/9/1991,11,180000
1095080,M,3/15/1992,11,235000
901224,F,7/5/1993,10,315000
306463,F,8/13/1986,13,160000
959981,M,3/2/1991,10,90000
1112003,M,12/24/1989,11,120000
1138316,F,10/6/1992,10,185000
1218624,M,1/30/1992,10,345000
267683,M,2/20/1989,13,360000
311098,M,9/2/1983,13,120000
232101,M,5/16/1988,13,400000
292803,M,2/15/1991,12,200000
1296310,M,1/17/1991,10,225000
955301,F,3/18/1992,10,240000
30101,F,10/13/1986,14,420000
1251281,M,9/9/1991,11,225000
140121,M,6/15/1988,12,90000
1262900,M,6/14/1993,10,180000
652269,M,12/27/1991,11,180000
161107,M,2/16/1989,14,560000
553371,F,9/30/1990,11,335000
869283,F,1/3/1993,10,100000
327759,M,10/5/1990,12,880000
1230478,M,12/21/1992,10,200000
669596,F,5/5/1991,11,45000
431800,M,10/23/1990,12,200000
332049,F,5/4/1990,12,150000
600302,F,9/10/1989,13,200000
1097036,F,11/26/1992,10,100000
1193753,F,9/13/1992,10,300000
345838,M,5/29/1991,12,225000
1063512,M,5/31/1992,11,300000
576122,M,7/3/1991,11,200000
223303,M,7/29/1989,13,405000
692668,M,2/28/1992,11,70000
644440,M,8/7/1991,11,110000
1083136,M,11/24/1990,10,300000
357389,F,12/3/1991,11,350000
52581,M,6/1/1987,15,180000
1063454,M,8/25/1989,11,300000
869474,M,12/17/1992,10,240000
576225,M,1/2/1992,11,120000
910160,M,5/21/1993,10,195000
905258,M,6/4/1992,10,325000
278656,M,9/20/1989,13,305000
662008,F,11/13/1987,11,100000
453187,M,3/28/1990,10,180000
238392,F,9/24/1989,13,450000
138359,M,6/16/1988,14,335000
1225896,F,8/10/1991,11,120000
593082,F,12/13/1992,11,335000
1279983,F,6/25/1991,10,200000
330102,F,9/3/1990,12,100000
597697,M,3/1/1992,11,325000
655270,F,7/5/1991,11,250000
988792,F,11/13/1989,10,200000
127002,M,1/5/1989,14,475000
337629,F,9/10/1990,12,300000
1082552,F,12/13/1993,10,200000
531480,M,12/30/1991,11,365000
1099501,M,7/10/1993,10,110000
1239524,M,1/9/1990,12,180000
860597,M,7/9/1991,11,395000
293843,M,2/8/1987,13,110000
555964,F,10/18/1991,11,180000
1224952,M,7/15/1991,10,325000
328944,F,2/9/1990,12,450000
